INDEX_NR
INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,SPECIES_ID,SPECIES,OUT_OF_RANGE_SPECIES,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,PERSON
1611931,08/10/2024,10,2024,21:30,Night,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N929NN,3293,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Climb,2600,230,3,Some Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,,1,Small,Air Transport Operations
1613078,26/07/2024,7,2024,16:04,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N309PC,2730,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Take-off Run,0,150,0,No Cloud,None,,0,0,N,UNKBM,Unknown bird - medium,0,0,0,No,1,1,Medium,Air Transport Operations
1615696,26/07/2024,7,2024,12:22,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N309PC,1347,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,,,0,,,,0,0,N,UNKB,Unknown bird,0,1,0,Unknown,,1,,Tower
1615765,20/10/2024,10,2024,00:00,Night,KMIA,MIAMI INTL,FDX,FEDEX EXPRESS,N920FD,114,B-757-200,148,26,37,37,A  ,4,D,2,1,1,,,Approach,4000,200,15,Overcast,Rain,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Pilot
1616580,04/09/2024,9,2024,14:19,Day,KMIA,MIAMI INTL,LCO,LAN CARGO COLUMBIA,N572LA,3512,B-767-300,148,97,22,7,A  ,4,D,2,1,1,,,Take-off Run,0,120,0,Some Cloud,,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Yes,02-oct,02-oct,Small,Other
1618416,11/08/2024,8,2024,09:00,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N288NN,4074,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Landing Roll,0,100,0,Some Cloud,None,,0,0,N,YI005,Barn swallow,0,1,0,Yes,1,1,Small,Pilot
1618490,07/08/2024,8,2024,14:50,Day,KMIA,MIAMI INTL,LCO,LAN CARGO COLUMBIA,CC-CXK,2832,B-767-300,148,97,22,7,A  ,4,D,2,1,1,,,Approach,230,160,1,3,Some Cloud,,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Yes,1,1,Small,Air Transport Operations
1618786,20/08/2024,8,2024,08:12,Day,KMIA,MIAMI INTL,AVA,AVIANCA,N750AV,5,A-320,04A,3,10,1,A  ,4,D,2,1,1,,,Take-off Run,0,110,0,No Cloud,,,0,0,N,YI005,Barn swallow,0,1,0,Unknown,,1,Small,Air Transport Operations
1618848,18/08/2024,8,2024,17:10,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N993NN,942,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Landing Roll,0,120,0,Overcast,None,,0,0,N,O2205,Mourning dove,0,1,0,Yes,1,1,Small,Pilot
1618893,04/11/2024,11,2024,15:25,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N923NN,838,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,5,152,0,Some Cloud,None,,0,0,N,K5105,Merlin,0,1,0,Yes,1,1,Small,Pilot
1619046,20/08/2024,8,2024,16:53,Day,KMIA,MIAMI INTL,NAC,NORTHERN AIR CARGO,N379CX,819,B-767-300,148,97,22,7,A  ,4,D,2,1,1,,,Take-off Run,0,165,0,,None,,0,0,N,UNKBS,Unknown bird - small,0,1,0,No,02-oct,02-oct,Small,Pilot
1619126,22/08/2024,8,2024,17:25,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N319TE,1144,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Landing Roll,0,,0,Overcast,Rain,,0,0,N,YI005,Barn swallow,0,1,0,Yes,02-oct,02-oct,Small,Airport Operations
1619293,23/08/2024,8,2024,18:20,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N200NN,3498,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Take-off Run,0,138,0,Overcast,None,,0,0,N,O2205,Mourning dove,0,1,0,Unknown,,1,Small,Pilot
